3
980 2
0 980
0.137167200132818 0.068583600066409
1 0 0 0 1 0 0 0 1 
T T T 
0.8500954932002562 0.9444089318503722 0.6381465792889182 0.09028504371908938
0.7417929080932947 0.5422877869490714 0.4037921793675958 0.09025332385054192
0.678068799674474 0.4850548565521351 0.9764942085972346 0.09022707073288644
0.712944089196087 0.6536796782186852 0.2071933494874572 0.09021715430103594
0.09752108537358244 0.2753077249282099 0.213451464808839 0.09015886348047883
0.9529078380290178 0.7325471562934863 0.4427542913933826 0.09009421597283807
0.9472181109722928 0.004422319272286738 0.01242228550158347 0.08995735649992695
0.1822581020375595 0.6305989155449605 0.5387549272517117 0.08989398032970293
0.2799558866080377 0.2214963967487819 0.4291440376218925 0.08987020632001005
0.1299151126869035 0.6043525195609164 0.1738147090594474 0.08971923500177323
0.3923743394737441 0.9547085387657647 0.4766225700988214 0.08968579882771321
0.920020857461918 0.4784167267864544 0.8338654093560254 0.08965903717509099
0.3321918814718677 0.3071413717077975 0.4424224687658072 0.08964181055309429
0.288343188503583 0.08415158306024624 0.4050558985457633 0.08945339834793475
0.9182121965308311 0.6807985424044106 0.7982607921225119 0.08938309338878954
0.2570952394069576 0.4945886330353369 0.6716878825808441 0.0893173016774737
0.3216298344286831 0.9223946202885799 0.8356317847132984 0.08929454473771421
0.6058214915095747 0.5580666394708165 0.7019851205373013 0.089250302195612
0.2057824936462809 0.552957290393933 0.7809827868641817 0.08919213850879654
0.7282478312470897 0.856995964280523 0.2590467927457115 0.08913600896184784
0.6076756171647122 0.2451422709513306 0.639897212264894 0.08906970871556533
0.5961481022155901 0.6402891545294281 0.5108465165364748 0.0890479052788684
0.4056133549670183 0.7913554727530338 0.9747394344020418 0.0889451176487257
0.7397934443549046 0.9776881658972681 0.9921125022675674 0.08890983803541141
0.8547213937039808 0.6917743252420523 0.2340812088171479 0.08872454060692286
0.3067055446683118 0.09449459950167406 0.03540439442724343 0.08871023806098463
0.9979340297135413 0.8429844318650458 0.4429768918553849 0.08857395068991106
0.8540765831293241 0.7650103784193788 0.7796812166222182 0.0885011666228032
0.3473201017039977 0.4352464388724948 0.9710510744483629 0.08846372573588047
0.05233064529846123 0.2231608000034299 0.1076634713770534 0.0883856656184932
0.2367380949542401 0.1149041777010337 0.3072570576700616 0.08837422358174261
0.3696584671723905 0.4919393063886418 0.7206866074104981 0.08832731123106523
0.5025074888448775 0.7468353066821405 0.2417418235873942 0.08828974321040084
0.1056581717543274 0.2073384660184421 0.8826040851018907 0.08825408219586152
0.9679429071224087 0.547320627258134 0.4283208097559091 0.08812313444193821
0.06739489447808526 0.08368592486403524 0.3161681168879464 0.08809554641999515
0.006911509097399612 0.745951176849054 0.1476435993881222 0.08802015611118301
0.9221895915267708 0.8802631630976055 0.2478657789132739 0.08794069752263732
0.1609201570501905 0.2513112905861005 0.551856241170576 0.08791291880008173
0.1976442613980648 0.8931930817337974 0.3911348972226857 0.08774910697393594
0.7882841533733486 0.8662071778247574 0.9791530201585324 0.0877441487580107
0.3095692287356577 0.5025759487753649 0.05719639243560407 0.08768846417915786
0.99513199101556 0.4032786974259239 0.5568330949650288 0.08756864062763096
0.002893428728445419 0.8862643816486662 0.7557996319671592 0.08754016266949619
0.6734124947058994 0.7220122600103969 0.3688403909613198 0.08752153757634108
0.3275271784631422 0.8591150733843151 0.6581092430552766 0.08747780356920552
0.8205633331769393 0.0743121401116535 0.8085074780593013 0.08747532446124291
0.008260373819106995 0.2696133609426119 0.185946905019012 0.08741703364068579
0.6986805413455088 0.4407216720496944 0.08747489378669597 0.08740368459781012
0.9035894759884805 0.4119381813776976 0.1639163058346522 0.08740254039413507
0.6703375380619384 0.03904288648880749 0.9481329874383697 0.08716912284442326
0.1274244238647412 0.4866784338738103 0.630427252297756 0.08715888857821855
0.4755138331652659 0.3192405251206938 0.2122047700842734 0.08708171839702297
0.9649987897030028 0.5311066527404202 0.1076531116297018 0.08707288260197669
0.9246825820693484 0.180135508322445 0.430296268624516 0.0870328990402205
0.6891547438884185 0.1406137846359707 0.4386764329954287 0.08698935573369745
0.2580470523500044 0.6067731496478339 0.979210272334418 0.08683495180443548
0.3952601145742932 0.7920160629280464 0.3466901733387467 0.08675193347112294
0.2924330990118851 0.3119593941394205 0.221400143813054 0.08666281271821011
0.2967520852387715 0.6378276942797436 0.4031459586908759 0.08652474547475311
0.2322911762409714 0.2924652619297664 0.05304237904151844 0.0865240462391739
0.4761924732435817 0.5660525323067341 0.545698813584008 0.08651730815086522
0.8349805048818927 0.6561052842244447 0.8993333218462343 0.08651546471161096
0.2831037932043744 0.1556461791380251 0.8567970970957247 0.08631008015193806
0.9116351732823689 0.4882415451274973 0.2882882568547744 0.08616152437479305
