3
1000
1000
4.308869e-02
10 01
T T
2.154435e-02 2.154435e-02 1.000000 0.025712 0.878561
9.193287e-01 9.015937e-03 9.015937e-03 1.000000 0.910559 0.315680
2.861466e-01 9.000638e-03 9.000638e-03 1.000000 0.715422 0.211464
8.907532e-01 8.988277e-03 8.988277e-03 1.000000 0.369894 0.397715
2.095290e-01 8.987179e-03 8.987179e-03 1.000000 0.204307 0.082304
5.214648e-01 8.981494e-03 8.981494e-03 1.000000 0.076443 0.862955
8.294290e-01 8.965794e-03 8.965794e-03 1.000000 0.764836 0.356190
8.794567e-01 8.965458e-03 8.965458e-03 1.000000 0.333922 0.597511
6.243802e-01 8.964020e-03 8.964020e-03 1.000000 0.621919 0.408602
9.253988e-01 8.959644e-03 8.959644e-03 1.000000 0.379615 0.455886
9.965171e-01 8.932636e-03 8.932636e-03 1.000000 0.788965 0.931193
7.443886e-01 8.918928e-03 8.918928e-03 1.000000 0.031546 0.961523
5.740067e-01 8.909373e-03 8.909373e-03 1.000000 0.251381 0.722964
4.382239e-01 8.873058e-03 8.873058e-03 1.000000 0.278757 0.356568
2.980764e-01 8.838896e-03 8.838896e-03 1.000000 0.651172 0.798619
2.573238e-01 8.806070e-03 8.806070e-03 1.000000 0.208878 0.284307
2.367254e-02 8.780338e-03 8.780338e-03 1.000000 0.227388 0.168366
6.158542e-01 8.751718e-03 8.751718e-03 1.000000 0.023633 0.380344
8.830523e-01 8.717042e-03 8.717042e-03 1.000000 0.498605 0.291770
7.831759e-02 8.697659e-03 8.697659e-03 1.000000 0.325406 0.345370
5.600774e-01 8.693333e-03 8.693333e-03 1.000000 0.327724 0.265112
3.778727e-01 8.691701e-03 8.691701e-03 1.000000 0.685457 0.772145
1.331364e-01 8.689868e-03 8.689868e-03 1.000000 0.013990 0.808848
3.600370e-01 8.689626e-03 8.689626e-03 1.000000 0.502005 0.041803
5.231000e-01 8.648073e-03 8.648073e-03 1.000000 0.855879 0.922425
8.874868e-01 8.645522e-03 8.645522e-03 1.000000 0.647798 0.078228
5.727520e-01 8.631546e-03 8.631546e-03 1.000000 0.506391 0.397294
2.846417e-01 8.612367e-03 8.612367e-03 1.000000 0.019090 0.050962
8.233865e-01 8.567284e-03 8.567284e-03 1.000000 0.079178 0.211261
6.007510e-01 8.525869e-03 8.525869e-03 1.000000 0.993871 0.689627
9.279056e-01 8.477914e-03 8.477914e-03 1.000000 0.410367 0.310933
5.050085e-01 8.424270e-03 8.424270e-03 1.000000 0.276433 0.604459
1.010745e-01 8.415402e-03 8.415402e-03 1.000000 0.267782 0.393332
5.978429e-01 8.380959e-03 8.380959e-03 1.000000 0.240241 0.192636
8.104954e-01 8.377171e-03 8.377171e-03 1.000000 0.381834 0.313924
1.089000e-01 8.366065e-03 8.366065e-03 1.000000 0.726043 0.711441
2.395039e-01 8.329863e-03 8.329863e-03 1.000000 0.742482 0.021320
1.149474e-01 8.311416e-03 8.311416e-03 1.000000 0.557901 0.599594
3.884045e-01 8.272515e-03 8.272515e-03 1.000000 0.174225 0.672345
5.113345e-02 8.269996e-03 8.269996e-03 1.000000 0.675276 0.662062
9.822916e-01 8.263193e-03 8.263193e-03 1.000000 0.473888 0.226224
5.964408e-01 8.224072e-03 8.224072e-03 1.000000 0.044768 0.735040
